refdes,pin,net,kind,note
U1,28,LDOA,pwr,LDOA-OUT internal 1.8V regulator output (1.764/1.8/1.836) + bypass cap→GND; source of the 1.8V rail feeding VCC-PLL/VCC-LVDS/VDD18-DRAM/VCC-TVIN. VERIFY vs t113-breakout
U1,29,+3V3,pwr,"LDO-IN internal LDOA/B input, 2.4/3.3/3.6V → 3.3V rail"
U1,30,LDOB,pwr,LDOB-OUT internal regulator output (default 1.35V; firmware sets 1.5V for DDR3) + bypass cap→GND; feeds VCC-DRAM0/1. VERIFY vs t113-breakout
U1,31,SPK_SD,,PE13 → MAX98357A SD/MODE (shares mono-strap net)
U1,32,JACK_DET,,PE12 → headphone jack detect switch
U1,33,UART0_RX,,PE3 UART0-RX (console)
U1,34,+3V3,pwr,"VCC-PE — PE-bank I/O supply, 3.3V"
U1,35,UART0_TX,,PE2 UART0-TX (console)
U1,36,PSHOLD,,PE11 → STM6601 PSHOLD (gpio-poweroff handshake)
U1,37,PWR_BTN_3V3,,[AUDIT] PE10 <- STM6601 /PB_OUT via #117 pull-up (was raw PWR_BTN idling ~SYS on a 3.3V pin)
U1,38,TOUCH_RST,,PE9 → touch FFC → FT7311 reset
U1,39,TOUCH_INT,,PE8 → touch FFC → FT7311 INT
U1,40,EXP_INT,,PE7 → PCA9555 INT + pull-up
U1,41,BL_CTRL,,PE6 → TPS61165 backlight control (PWM/EasyScale)
U1,42,I2C2_SDA,,PE5 TWI2-SDA joins dedicated i2c2 (IMU) bus
U1,43,I2C2_SCL,,PE4 TWI2-SCK joins dedicated i2c2 (IMU) bus
U1,44,IMU_INT1,,"PE0 → LSM6DSOX INT1 (+ 10K pulldown, also sets I2C-not-I3C at POR)"
U1,45,IMU_INT2,,PE1 → LSM6DSOX INT2
U1,46,+0V9,pwr,"VDD-SYS0 = 0.9V (datasheet: 0.85/0.95/0.99, shares CPU/core rail) — dictionary default +3V3 overridden. VERIFY vs t113-breakout + FP6161 budget (VDD-CPU+VDD-SYS ≤800mA)"
U1,47,DDR_ZQ,,DZQ DRAM ZQ-cal → 240Ω R5 → GND (section-local net)
U1,48,LDOB,pwr,"VCC-DRAM0 = 1.5V DDR3 supply (datasheet 1.425/1.5/1.575), fed from LDOB. VERIFY vs t113-breakout SiP DDR"
U1,49,LDOB,pwr,"VCC-DRAM1 = 1.5V DDR3 supply, fed from LDOB. VERIFY vs t113-breakout SiP DDR"
U1,50,LDOA,pwr,"VDD18-DRAM = 1.8V DRAM-controller supply (datasheet 1.62/1.8/1.98), fed from LDOA rail. VERIFY vs t113-breakout"
U1,51,+0V9,pwr,VDD-SYS1 = 0.9V core/system rail (see pin 46). VERIFY vs t113-breakout
U1,52,PANEL_DISP,,PD22 → display FPC DISP + 10K pull-up
U1,53,RGB_VSYNC,,PD21 LCD0-VSYNC → panel
U1,54,RGB_HSYNC,,PD20 LCD0-HSYNC → panel
U1,55,RGB_B2,,PD0 LCD0-D2 (ch-A LSB); R/G/B channel identity is convention-only — VERIFY panel map
U1,56,RGB_B3,,PD1 LCD0-D3
U1,57,RGB_B4,,PD2 LCD0-D4
U1,58,RGB_B5,,PD3 LCD0-D5
U1,59,RGB_B6,,PD4 LCD0-D6
U1,60,RGB_B7,,PD5 LCD0-D7 (ch-A MSB)
U1,61,RGB_G2,,PD6 LCD0-D10 (ch-B LSB)
U1,62,RGB_G3,,PD7 LCD0-D11
U1,63,RGB_G4,,PD8 LCD0-D12
U1,64,RGB_G5,,PD9 LCD0-D13
U1,65,LDOA,pwr,VCC-LVDS is 1.8V (datasheet 1.62/1.8/1.98) — dictionary's +3V3 would overvoltage; fed from internal LDOA 1.8V rail. VERIFY vs t113-breakout
U1,66,+3V3,pwr,"VCC-PD — PD-bank I/O supply, 3.3V"
U1,67,RGB_G6,,PD10 LCD0-D14
U1,68,RGB_G7,,PD11 LCD0-D15 (ch-B MSB)
U1,69,RGB_R3,,PD13 LCD0-D19
U1,70,RGB_R2,,PD12 LCD0-D18 (ch-C LSB)
U1,71,RGB_R4,,PD14 LCD0-D20
U1,72,RGB_R5,,PD15 LCD0-D21
U1,73,RGB_R6,,PD16 LCD0-D22
U1,74,RGB_R7,,PD17 LCD0-D23 (ch-C MSB)
U1,75,RGB_DCLK,,PD18 LCD0-CLK → panel (DNP 0Ω series-R option)
U1,76,RGB_DE,,PD19 LCD0-DE → panel
U1,77,+3V3,pwr,VCC-TVOUT = 3.3V (datasheet typ 3.3); TVOUT block unused but supply kept at 3.3V
U1,78,,,spare/NC — TVOUT0 CVBS output unused
U1,79,,,spare/NC — PB7 free GPIO
U1,80,BT_EN_RST,,PB6 → BT830 VREG_EN_RST# (boot low >5ms then high)
U1,81,+0V9,pwr,VDD-SYS2 = 0.9V core/system rail (see pin 46). VERIFY vs t113-breakout
U1,82,GAUGE_ALRT,,PB5 → MAX17048 ALRT (needs pull-up)
U1,83,+3V3,pwr,VCC-IO = 3.3V digital I/O supply
U1,84,CHG_PGOOD,,PB4 → BQ24074 PGOOD + pull-up (open-drain in)
U1,85,DAC_XSMT,,PB3 → PCM5102A XSMT (soft-mute)
U1,86,HP_EN,,PB2 → TPA6132A2 EN (+ pull-down)
U1,87,,,spare/NC — MICIN3P (internal codec mic-in unused)
U1,88,,,spare/NC — MICIN3N unused
U1,89,AVCC,pwr,"AVCC 1.8V (datasheet 1.782/1.8/1.818) — dictionary's +3V3 wrong. Datasheet §2.8: 'internal ALDO output for AVCC' → own node with bypass cap→GND (do NOT tie to external 3.3V). GPADC0 uses AVCC as reference. If breakout instead feeds it from the LDOA rail, merge with LDOA. VERIFY vs t113-breakout"
U1,90,VRA2,pwr,VRA2 — codec analog reference — 100nF→GND per PINOUT open-item; internal codec unused (section-local net). Confirm bypass cap exists
U1,91,GND,gnd,AGND — ground family
U1,92,VRA1,pwr,VRA1 — codec analog reference — 100nF→GND per PINOUT open-item; internal codec unused (section-local net). Confirm bypass cap exists
U1,93,,,spare/NC — FMINR FM-in unused
U1,94,,,spare/NC — FMINL FM-in unused
U1,95,,,spare/NC — LINEINR line-in unused
U1,96,,,spare/NC — LINEINL line-in unused
U1,97,HPVCC,pwr,"HPVCC 1.8V (datasheet 1.764/1.8/1.836). Datasheet §2.8: 'internal HPLDO output for HPVCC' → own node with bypass cap→GND. Internal codec HP out unused (external PCM5102A/TPA6132 used instead). If breakout feeds it from LDOA rail, merge with LDOA. VERIFY vs t113-breakout"
U1,98,,,spare/NC — HPOUTR internal codec HP out unused
U1,99,,,spare/NC — HPOUTL unused
U1,100,,,spare/NC — HPOUTFB unused
U1,101,BAT_SENSE,,GPADC0 → battery divider R75/R76 midpoint (reference = AVCC 1.8V)
U1,102,,,spare/NC — TP-X1 resistive-touch ADC unused
U1,103,,,spare/NC — TP-X2 unused
U1,104,,,spare/NC — TP-Y1 unused
U1,105,,,spare/NC — TP-Y2 unused
U1,106,,,spare/NC — NC0 no-connect
U1,107,LDOA,pwr,"VCC-TVIN is 1.8V (datasheet typ 1.8, NOT 3.3) — dictionary's +3V3 would overvoltage. TVIN block unused; supply tied to 1.8V LDOA rail. VERIFY vs t113-breakout (or leave unpowered if TVIN fully disabled)"
U1,108,,,spare/NC — TVIN0 CVBS-in unused
U1,109,,,spare/NC — TVIN1 CVBS-in unused
U1,110,,,spare/NC — TVIN-VRP unused
U1,111,,,spare/NC — TVIN-VRN unused
U1,112,,,spare/NC — USB1-DP (USB host unused)
U1,113,,,spare/NC — USB1-DM unused
U1,114,USB_DM,,USB0-DM → USB-C D- via ESD D4 (90Ω diff)
U1,115,USB_DP,,USB0-DP → USB-C D+ via ESD D4 (90Ω diff)
U1,116,+0V9,pwr,VDD-CORE0 core supply (datasheet 0.85/0.95/0.99; FP6161 core buck rail)
U1,117,+0V9,pwr,VDD-CORE1 core supply (FP6161 core buck rail)
U1,118,UART3_RX,,PG1 UART3-RX (HCI) → lands on BT830 UART_TX
U1,119,UART3_RTS,,PG2 UART3-RTS (HCI) → BT830 flow-control
U1,120,UART3_TX,,PG0 UART3-TX (HCI) → lands on BT830 UART_RX
U1,121,UART3_CTS,,PG3 UART3-CTS (HCI) → BT830 flow-control
U1,122,,,spare/NC — PG5 free GPIO
U1,123,,,spare/NC — PG4 free GPIO
U1,124,I2S1_LRCK,,PG12 I2S1-LRCK → MAX98357A + PCM5102A
U1,125,I2S1_BCLK,,PG13 I2S1-BCLK → MAX98357A + PCM5102A
U1,126,I2S1_DIN,,PG14 I2S1-DIN0; per task guidance kept as I2S1_DIN though nothing drives T113 I2S RX — effectively single-pin/static; confirm route vs static GPIO
U1,127,I2S1_DOUT,,PG15 I2S1-DOUT0 → MAX98357A DIN + PCM5102A DIN (via series-R)
U1,128,+3V3,pwr,"VCC-PG — PG-bank I/O supply, 3.3V"
U1,129,GND,gnd,EPAD — ground family
USBC1,1,GND,gnd,EH shield/retention post -> GND (BOM #2: shell+mid-plate+4 posts direct short to GND)
USBC1,2,GND,gnd,EH shield/retention post -> GND
USBC1,3,GND,gnd,EH shield/retention post -> GND
USBC1,4,GND,gnd,EH shield/retention post -> GND
USBC1,A1B12,GND,gnd,GND — ground family
USBC1,A4B9,+5V,pwr,VBUS — rail: USB-C 5V input
USBC1,A5,USBC_CC1,,CC1 -> CH224K (U11) only; no external 5.1k pulldowns
USBC1,A6,USB_DP,,DP1; USB2-only reversible -> DP1=DP2 board-shorted; path via ESD D4 to T113 USB0-DP
USBC1,A7,USB_DM,,DN1; DN1=DN2 board-shorted; path via ESD D4 to T113 USB0-DM
USBC1,A8,,,spare/NC — SBU1 unused (no alt-mode / analog-audio adapter)
USBC1,B1A12,GND,gnd,GND — ground family
USBC1,B4A9,+5V,pwr,VBUS — rail: USB-C 5V input
USBC1,B5,USBC_CC2,,CC2 -> CH224K (U11)
USBC1,B6,USB_DP,,DP2 shorted to DP1 (reversible USB2)
USBC1,B7,USB_DM,,DN2 shorted to DN1
USBC1,B8,,,spare/NC — SBU2 unused
U2,1,CORE_RUN,,FP6161 RUN; node = R4(from PWR_EN) + C2(->GND); ~10ms delay after VCC-IO
U2,2,GND,gnd,GND — ground family
U2,3,CORE_SW,,SW — switch node -> L1
U2,4,SYS,pwr,VIN — rail: #3 input=SYS
U2,5,CORE_FB,,"FB/VOUT — FB sense (ADJ 0.6V); divider R3(top)/R2(bot), C1 feed-forward"
L1,1,CORE_SW,,core-buck switch node (U2 pin3)
L1,2,+0V9,pwr,core buck output rail
R2,1,CORE_FB,,FB R_bot 150k (FB -> GND)
R2,2,GND,gnd,
R3,1,+0V9,pwr,FB R_top 75k (VOUT/+0V9 -> FB)
R3,2,CORE_FB,,
C1,1,+0V9,pwr,"10pF feed-forward across R3 (+0V9 <-> FB), loop stability"
C1,2,CORE_FB,,
R4,1,PWR_EN,,"100k; from STM6601 EN net (cross-chip, not in dict — must match U17.9 EN / U12.12 EN)"
R4,2,CORE_RUN,,RC to FP6161 RUN
C2,1,CORE_RUN,,100nF RUN delay cap
C2,2,GND,gnd,
R5,1,DDR_ZQ,,"240R ZQ-cal; to T113 DZQ (U1 pin47) — cross-chip, U1 side must use DDR_ZQ"
R5,2,GND,gnd,
U3,1,NOR_CS,,~{CS} — W25Q128 /CS -> SPI0-CS0 (PC3)
U3,2,NOR_IO1,,DO/MISO -> PC5 (also BOOT-SEL1 strap)
U3,3,NOR_IO2,,/WP(IO2) -> PC6
U3,4,GND,gnd,GND — ground family
U3,5,NOR_IO0,,DI/MOSI -> PC4 (also BOOT-SEL0 strap)
U3,6,NOR_CLK,,CLK -> PC2
U3,7,NOR_IO3,,/HOLD(IO3) -> PC7
U3,8,+3V3,pwr,VCC — rail: SPI-NOR 3.3V logic
U4,1,SD_D2,,microSD DAT2 -> PF5
U4,2,SD_D3,,CD/DAT3 used as DAT3 in 4-bit mode -> PF4
U4,3,SD_CMD,,CMD -> PF3
U4,4,+3V3,pwr,VDD — rail: microSD 3.3V
U4,5,SD_CLK,,CLK -> PF2
U4,6,GND,gnd,VSS — ground family
U4,7,SD_D0,,DAT0 -> PF1
U4,8,SD_D1,,DAT1 -> PF0
U4,9,SD_CD,,"CARD_DETECT — mechanical card-detect switch (closes to pin10/GND on insert). NO pull-up allocated & no explicit T113 GPIO in PINOUT — verify (spare GPIO+pull-up, or broken-cd/non-removable)"
U4,10,GND,gnd,GROUND — socket shell/mechanical ground; CD switch return
D1,1,SD_CLK,,SP3004 ch I/O1 shunt-clamp on SD_CLK
D1,2,GND,gnd,GND — ground family
D1,3,SD_CMD,,I/O2 clamp on SD_CMD
D1,4,SD_D0,,I/O3 clamp on SD_D0
D1,5,+3V3,pwr,VCC — rail: SD-line ESD clamp ref = 3.3V
D1,6,SD_D1,,I/O4 clamp on SD_D1
D2,1,SD_D2,,SP3004 ch I/O1 clamp on SD_D2
D2,2,GND,gnd,GND — ground family
D2,3,SD_D3,,I/O2 clamp on SD_D3
D2,4,,,I/O3 — spare/NC — unused ESD channel (6 SD lines fill 4+2; CD not protected per BOM #13)
D2,5,+3V3,pwr,VCC — rail: SD-line ESD clamp ref = 3.3V
D2,6,,,I/O4 — spare/NC — unused ESD channel
R6,1,SD_CMD,,10k SD pull-up (bank pairing arbitrary)
R6,2,+3V3,pwr,
R7,1,SD_D0,,10k SD pull-up
R7,2,+3V3,pwr,
R8,1,SD_D1,,10k SD pull-up
R8,2,+3V3,pwr,
R9,1,SD_D2,,10k SD pull-up
R9,2,+3V3,pwr,
R10,1,SD_D3,,10k SD pull-up
R10,2,+3V3,pwr,
R11,1,RESET,,10k RESET pull-up
R11,2,LDOA,pwr,RESET pull-up to 1.8V rail LDOA (FIX: was VCC_RTC island)
X1,1,HOSC_IN,,"24MHz xtal OSC1 -> T113 DXIN (pin23); crystal symmetric, polarity must match U1"
X1,2,GND,gnd,GND — ground family
X1,3,HOSC_OUT,,OSC2 -> T113 DXOUT (pin22)
X1,4,GND,gnd,GND — ground family
X2,1,RTC_IN,,32.768kHz OSC -> T113 X32KIN (pin25); polarity symmetric
X2,2,RTC_OUT,,-> T113 X32KOUT (pin24)
C3,1,HOSC_IN,,22pF HOSC load cap
C3,2,GND,gnd,
C4,1,HOSC_OUT,,22pF HOSC load cap
C4,2,GND,gnd,
C5,1,RTC_IN,,18pF RTC load cap
C5,2,GND,gnd,
C6,1,RTC_OUT,,18pF RTC load cap
C6,2,GND,gnd,
C7,1,+3V3,pwr,100nF per-ball decoupling; +3V3 SoC supply balls (7 balls: 29/34/66/77/83/107/128). Cap<->ball pairing census-based
C7,2,GND,gnd,
C8,1,+3V3,pwr,100nF +3V3 ball decoupling
C8,2,GND,gnd,
C9,1,+3V3,pwr,100nF +3V3 ball decoupling
C9,2,GND,gnd,
C10,1,+3V3,pwr,100nF +3V3 ball decoupling
C10,2,GND,gnd,
C11,1,+3V3,pwr,100nF +3V3 ball decoupling
C11,2,GND,gnd,
C12,1,+3V3,pwr,100nF +3V3 ball decoupling
C12,2,GND,gnd,
C13,1,+3V3,pwr,100nF +3V3 ball decoupling
C13,2,GND,gnd,
C14,1,+0V9,pwr,100nF core-rail decoupling (+0V9 balls 46/51/81/116/117)
C14,2,GND,gnd,
C15,1,+0V9,pwr,100nF +0V9 ball decoupling
C15,2,GND,gnd,
C16,1,+0V9,pwr,100nF +0V9 ball decoupling
C16,2,GND,gnd,
C17,1,+0V9,pwr,100nF +0V9 ball decoupling
C17,2,GND,gnd,
C18,1,+0V9,pwr,100nF +0V9 ball decoupling
C18,2,GND,gnd,
C19,1,AVCC,pwr,100nF bypass AVCC internal ALDO (GPADC0 ref) -> GND (reassigned from LDOA; +1uF bulk recommended)
C19,2,GND,gnd,
C20,1,HPVCC,pwr,100nF bypass HPVCC internal HPLDO -> GND (reassigned from LDOA)
C20,2,GND,gnd,
C21,1,VRA1,pwr,100nF bypass codec VRA1 ref -> GND (reassigned from LDOA; PINOUT open-item 6)
C21,2,GND,gnd,
C22,1,VRA2,pwr,100nF bypass codec VRA2 ref -> GND (reassigned from LDOA; PINOUT open-item 6)
C22,2,GND,gnd,
C23,1,LDOA,pwr,100nF LDO-A bypass
C23,2,GND,gnd,
C24,1,LDOA,pwr,100nF LDO-A bypass
C24,2,GND,gnd,
C25,1,LDOA,pwr,100nF LDO-A bypass
C25,2,GND,gnd,
C26,1,LDOB,pwr,100nF internal LDO-B (1.5V DDR / VCC-DRAM) bypass (balls 30/48/49); dict: LDOB-OUT net
C26,2,GND,gnd,
C27,1,LDOB,pwr,100nF LDO-B bypass
C27,2,GND,gnd,
C28,1,LDOB,pwr,100nF LDO-B bypass
C28,2,GND,gnd,
C29,1,+3V3,pwr,100nF SPI-NOR (U3) VCC decoupling (BOM #19 'flash')
C29,2,GND,gnd,
C30,1,+3V3,pwr,100nF microSD (U4) VDD decoupling (BOM #19 'SD')
C30,2,GND,gnd,
C31,1,RESET,,100nF RESET debounce cap -> GND (BOM #22 'RESET + 100nF')
C31,2,GND,gnd,
C32,1,+5V,pwr,10uF bulk on 5V VBUS (BOM #20 Rev-A brownout fix)
C32,2,GND,gnd,
C33,1,SYS,pwr,10uF bulk on SYS rail (BOM #20 Rev-A brownout fix)
C33,2,GND,gnd,
C34,1,+0V9,pwr,10uF FP6161 core-buck (#3) output bulk (BOM #20)
C34,2,GND,gnd,
C35,1,+3V3,pwr,10uF general bulk on +3V3
C35,2,GND,gnd,
C36,1,+3V3,pwr,10uF general bulk on +3V3
C36,2,GND,gnd,
C37,1,+3V3,pwr,10uF general bulk on +3V3
C37,2,GND,gnd,
C38,1,+3V3,pwr,10uF general bulk on +3V3
C38,2,GND,gnd,
C39,1,+3V3,pwr,10uF general bulk on +3V3
C39,2,GND,gnd,
C40,1,+3V3,pwr,10uF general bulk on +3V3
C40,2,GND,gnd,
C41,1,+3V3,pwr,4.7uF general bulk on +3V3 (BOM #21)
C41,2,GND,gnd,
C42,1,+3V3,pwr,4.7uF general bulk on +3V3
C42,2,GND,gnd,
C43,1,+3V3,pwr,4.7uF general bulk on +3V3
C43,2,GND,gnd,
C44,1,+3V3,pwr,4.7uF general bulk on +3V3
C44,2,GND,gnd,
SW1,1,RESET,,"[AUDIT/DS C318884] TS-1187A: {1,2}=A,B internally common = signal terminal"
SW1,2,RESET,,[AUDIT/DS] pad2(B) common with pad1(A) = signal (FIX: was GND -> was shorting signal to GND)
SW1,3,GND,gnd,[AUDIT/DS] pad3(C) common with pad4(D) = GND terminal (FIX: was signal)
SW1,4,GND,gnd,"[AUDIT/DS] {3,4}=C,D internally common = GND terminal"
U5,1,GND,gnd,power LED cathode(-) -> GND
U5,2,PWR_LED_A,,power LED anode(+) -> R12 junction
R12,1,+3V3,pwr,510R power-LED limit off +3V3 (always-on)
R12,2,PWR_LED_A,,to LED anode
P1,1,BL_LED_N,,VLED- (LED string cathode); returns to TPS61165 U6 FB pin. Shared with U6.6.
P1,2,BL_LED_P,,VLED+ (LED string anode) = boost VOUT node (D3 cathode + C45).
P1,3,GND,gnd,panel GND
P1,4,+3V3,pwr,VDD panel logic supply
P1,5,GND,gnd,Red R0 (LSB) tied low — T113 drives only top 6 bits (RGB666). VERIFY panel bit order before copper.
P1,6,GND,gnd,Red R1 tied low — RGB666 6-MSB scheme.
P1,7,RGB_R2,,Red R2. Channel/bit order is copper-committing unknown (see PINOUT.md) — confirm vs Zettler map.
P1,8,RGB_R3,,Red R3
P1,9,RGB_R4,,Red R4
P1,10,RGB_R5,,Red R5
P1,11,RGB_R6,,Red R6
P1,12,RGB_R7,,Red R7 (MSB)
P1,13,GND,gnd,Green G0 (LSB) tied low — 6-MSB scheme.
P1,14,GND,gnd,Green G1 tied low.
P1,15,RGB_G2,,Green G2
P1,16,RGB_G3,,Green G3
P1,17,RGB_G4,,Green G4
P1,18,RGB_G5,,Green G5
P1,19,RGB_G6,,Green G6
P1,20,RGB_G7,,Green G7 (MSB)
P1,21,GND,gnd,Blue B0 (LSB) tied low — 6-MSB scheme.
P1,22,GND,gnd,Blue B1 tied low.
P1,23,RGB_B2,,Blue B2
P1,24,RGB_B3,,Blue B3
P1,25,RGB_B4,,Blue B4
P1,26,RGB_B5,,Blue B5
P1,27,RGB_B6,,Blue B6
P1,28,RGB_B7,,Blue B7 (MSB)
P1,29,GND,gnd,panel GND
P1,30,RGB_DCLK,,pixel clock (CLK)
P1,31,PANEL_DISP,,"DISP display-on; needs 10K pull-up (PINOUT.md) — pull-up R not in this subsystem, verify placed elsewhere."
P1,32,RGB_HSYNC,,HSYNC (tie low if DE-only mode)
P1,33,RGB_VSYNC,,VSYNC (tie low if DE-only mode)
P1,34,RGB_DE,,data enable
P1,35,,,spare/NC — panel pin35=NC per datasheet
P1,36,GND,gnd,panel GND
P1,37,,,spare/NC — panel pins 37-40 all NC per datasheet p.4
P1,38,,,spare/NC — panel pin38=NC
P1,39,,,spare/NC — panel pin39=NC
P1,40,,,spare/NC — panel pin40=NC
P1,41,GND,gnd,"assumed FPC shield/mechanical mount tab -> GND. VERIFY vs symbol pin order (40-pin conn, symbol shows 42)."
P1,42,GND,gnd,assumed FPC shield/mechanical mount tab -> GND. VERIFY vs symbol.
FPC1,1,+3V3,pwr,"touch VDD (FT7311, 2.8-3.3V)"
FPC1,2,GND,gnd,touch GND
FPC1,3,I2C1_SCL,,touch I2C clock -> T113 PG-bank I2C1
FPC1,4,I2C1_SDA,,touch I2C data -> I2C1
FPC1,5,TOUCH_INT,,FT7311 INT -> T113 PE8 (EINT)
FPC1,6,TOUCH_RST,,FT7311 RST -> T113 PE9
FPC1,7,GND,gnd,connector is 6-pin (HDGC 1.0K-1.5-6PWB) but symbol shows 8 pins; assumed shield/mount tab -> GND. VERIFY symbol pin order/count.
FPC1,8,GND,gnd,assumed shield/mount tab -> GND (see pin7). VERIFY symbol.
U6,1,SYS,pwr,rail: #28 VIN from SYS/5V not 3.3V (REVIEW: SYS vs +5V)
U6,2,BL_CTRL,,CTRL brightness control -> T113 PE6 (EasyScale/PWM). Cross-chip dictionary net.
U6,3,BL_SW,,SW — boost switch node: to L2 (VIN side of inductor) and D3 anode. Section-local.
U6,4,GND,gnd,GND — ground family
U6,5,BL_COMP,,COMP error-amp output -> C47 to GND. Section-local.
U6,6,BL_LED_N,,FB current-sense = LED string cathode = P1.1. Rset (5.1R) from FB to GND is MISSING as a placed part in netlist — see uncertainties.
L2,1,SYS,pwr,"boost inductor VIN side (=U6 VIN rail, SYS). Inductor non-polar; orientation arbitrary."
L2,2,BL_SW,,boost inductor SW-node side -> U6 SW + D3 anode.
D3,1,BL_LED_P,,SS16 cathode (K) = boost output / LED anode -> P1.2 + C45.
D3,2,BL_SW,,SS16 anode (A) at switch node -> U6 SW + L2.
C45,1,BL_LED_P,,"Cout boost output cap, hot side to VOUT/LED anode."
C45,2,GND,gnd,Cout return to GND.
C46,1,SYS,pwr,"Cin boost input cap, to VIN rail (SYS)."
C46,2,GND,gnd,Cin return to GND.
C47,1,BL_COMP,,"COMP compensation cap, to U6 COMP pin."
C47,2,GND,gnd,COMP cap return to GND.
U7,1,GND,gnd,SDO/SA0 strap → GND sets I2C addr 0x6A (BOM #39); must not float
U7,2,GND,gnd,"SDX — SDx: Mode-1 unused aux, hard-tie to GND per DS Table 1 (no pull-R, must not float)"
U7,3,GND,gnd,"SCX — SCx: Mode-1 unused aux, hard-tie to GND per DS Table 1 (no pull-R, must not float)"
U7,4,IMU_INT1,,INT1 → T113 PE0; R13 10k pulldown on this net guarantees I2C-not-I3C at POR (must NOT pull to VDDIO)
U7,5,+3V3,pwr,VDDIO — rail: IMU IO 3.3V (REVIEW)
U7,6,GND,gnd,GND — ground family
U7,7,GND,gnd,GND — ground family
U7,8,+3V3,pwr,VDD — rail: IMU 3.3V (REVIEW: rail not explicit)
U7,9,IMU_INT2,,"INT2 → T113 PE1 EINT (programmable, no tie)"
U7,10,,,"OCS_Aux — [AUDIT] pin-name fix (was OSC_AUX). aux SPI CS, unused -> NC/GND per BOM #35"
U7,11,,,"SDO_AUX — spare/NC: SDO_Aux, left unconnected (DS allows tie to VDDIO as alternative — either valid)"
U7,12,+3V3,pwr,CS high selects I2C mode (BOM #38); ties to VDDIO = +3V3
U7,13,I2C2_SCL,,SCL — I2C2 bus
U7,14,I2C2_SDA,,SDA — I2C2 bus
C48,1,+3V3,pwr,"100nF IMU VDD (pin8) decoupling, hot side to +3V3"
C48,2,GND,gnd,"100nF IMU VDD decoupling, return to GND"
C49,1,+3V3,pwr,"100nF IMU VDDIO (pin5) decoupling, hot side to +3V3"
C49,2,GND,gnd,"100nF IMU VDDIO decoupling, return to GND"
R13,1,IMU_INT1,,"10k INT1 pulldown, top side on INT1 net"
R13,2,GND,gnd,"10k INT1 pulldown, bottom to GND"
U8,1,HAP_REG,,REG = internal LDO output; local node to C50 1uF-to-GND (section-local net name)
U8,2,I2C1_SCL,,SCL — I2C1 bus
U8,3,I2C1_SDA,,SDA — I2C1 bus
U8,4,GND,gnd,IN/TRIG tied to GND for I2C-only internal-trigger mode (BOM #44)
U8,5,+3V3,pwr,"EN tied high per BOM #41 (always-enabled, SW standby via I2C). No dedicated MCU enable GPIO in PINOUT — VERIFY if hardware enable control is desired"
U8,6,+3V3,pwr,"VDD/NC tied to +3V3 (same as pin10); DS: shares H-bridge supply, caps #43/#45 serve both"
U8,7,LRA_P,,"OUT+ → LRA actuator terminal (solder direct to Vybronics VG0832022D, no connector)"
U8,8,GND,gnd,GND — ground family
U8,9,LRA_N,,"OUT- → LRA actuator terminal (solder direct, no connector)"
U8,10,+3V3,pwr,rail: #41 VDD on 3.3V not SYS
